=== Run information ===

Scheme:       weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
Relation:     titanic
Instances:    891
Attributes:   12
              PassengerId
              Pclass
              Name
              Sex
              Age
              SibSp
              Parch
              Ticket
              Fare
              Cabin
              Embarked
              Survived
Test mode:    evaluate on training data

=== Classifier model (full training set) ===

RandomForest

Bagging with 100 iterations and base learner

weka.classifiers.trees.RandomTree -K 0 -M 1.0 -V 0.001 -S 1 -do-not-check-capabilities

Time taken to build model: 0.28 seconds

=== Predictions on training set ===

    inst#     actual  predicted error prediction
      226        1:0        1:0       0.878 
      227        2:1        2:1       0.751 
      228        1:0        1:0       0.877 
      229        1:0        1:0       0.877 
      230        1:0        1:0       0.893 
      231        2:1        2:1       0.777 
      232        1:0        1:0       0.884 
      233        1:0        1:0       0.859 
      234        2:1        2:1       0.865 
      235        1:0        1:0       0.848 
      236        1:0        1:0       0.813 
      237        1:0        1:0       0.869 
      238        2:1        2:1       0.83 
      239        1:0        1:0       0.858 
      240        1:0        1:0       0.856 
      241        1:0        1:0       0.864 
      242        2:1        2:1       0.785 
      243        1:0        1:0       0.846 
      244        1:0        1:0       0.881 
      245        1:0        1:0       0.888 
      246        1:0        1:0       0.849 
      247        1:0        1:0       0.842 
      248        2:1        2:1       0.854 
      249        2:1        2:1       0.772 
      250        1:0        1:0       0.893 
      251        1:0        1:0       0.873 
      252        1:0        1:0       0.889 
      253        1:0        1:0       0.816 
      254        1:0        1:0       0.882 
      255        1:0        1:0       0.85 
      256        2:1        2:1       0.795 
      257        2:1        2:1       0.755 
      258        2:1        2:1       0.835 
      259        2:1        2:1       0.876 
      260        2:1        2:1       0.872 
      261        1:0        1:0       0.873 
      262        2:1        2:1       0.757 
      263        1:0        1:0       0.814 
      264        1:0        1:0       0.864 
      265        1:0        1:0       0.839 
      266        1:0        1:0       0.862 
      267        1:0        1:0       0.897 
      268        2:1        2:1       0.746 
      269        2:1        2:1       0.81 
      270        2:1        2:1       0.871 
      271        1:0        1:0       0.836 
      272        2:1        2:1       0.712 
      273        2:1        2:1       0.854 
      274        1:0        1:0       0.887 
      275        2:1        2:1       0.776 
      276        2:1        2:1       0.858 
      277        1:0        1:0       0.859 
      278        1:0        1:0       0.901 
      279        1:0        1:0       0.895 
      280        2:1        2:1       0.757 
      281        1:0        1:0       0.883 
      282        1:0        1:0       0.875 
      283        1:0        1:0       0.856 
      284        2:1        2:1       0.761 
      285        1:0        1:0       0.87 
      286        1:0        1:0       0.901 
      287        2:1        2:1       0.808 
      288        1:0        1:0       0.87 
      289        2:1        2:1       0.772 
      290        2:1        2:1       0.795 
      291        2:1        2:1       0.777 
      292        2:1        2:1       0.841 
      293        1:0        1:0       0.864 
      294        1:0        1:0       0.858 
      295        1:0        1:0       0.873 
      296        1:0        1:0       0.828 
      297        1:0        1:0       0.869 
      298        1:0        1:0       0.82 
      299        2:1        2:1       0.819 
      300        2:1        2:1       0.735 
      301        2:1        2:1       0.78 
      302        2:1        2:1       0.849 
      303        1:0        1:0       0.856 
      304        2:1        2:1       0.781 
      305        1:0        1:0       0.89 
      306        2:1        2:1       0.741 
      307        2:1        2:1       0.859 
      308        2:1        2:1       0.857 
      309        1:0        1:0       0.855 
      310        2:1        2:1       0.826 
      311        2:1        2:1       0.816 
      312        2:1        2:1       0.872 
      313        1:0        1:0       0.782 
      314        1:0        1:0       0.856 
      315        1:0        1:0       0.776 
      316        2:1        2:1       0.799 
      317        2:1        2:1       0.742 
      318        1:0        1:0       0.872 
      319        2:1        2:1       0.839 
      320        2:1        2:1       0.831 
      321        1:0        1:0       0.901 
      322        1:0        1:0       0.878 
      323        2:1        2:1       0.788 
      324        2:1        2:1       0.855 
      325        1:0        1:0       0.918 
      326        2:1        2:1       0.803 
      327        1:0        1:0       0.842 
      328        2:1        2:1       0.788 
      329        2:1        2:1       0.751 
      330        2:1        2:1       0.815 
      331        2:1        2:1       0.82 
      332        1:0        1:0       0.864 
      333        1:0        1:0       0.788 
      334        1:0        1:0       0.924 
      335        2:1        2:1       0.879 
      336        1:0        1:0       0.874 
      337        1:0        1:0       0.781 
      338        2:1        2:1       0.858 
      339        2:1        2:1       0.767 
      340        1:0        1:0       0.864 
      341        2:1        2:1       0.829 
      342        2:1        2:1       0.807 
      343        1:0        1:0       0.852 
      344        1:0        1:0       0.881 
      345        1:0        1:0       0.895 
      346        2:1        2:1       0.78 
      347        2:1        2:1       0.84 
      348        2:1        2:1       0.795 
      349        2:1        2:1       0.842 
      350        1:0        1:0       0.893 
      351        1:0        1:0       0.882 
      352        1:0        1:0       0.878 
      353        1:0        1:0       0.885 
      354        1:0        1:0       0.877 
      355        1:0        1:0       0.901 
      356        1:0        1:0       0.87 
      357        2:1        2:1       0.829 
      358        1:0        1:0       0.836 
      359        2:1        2:1       0.778 
      360        2:1        2:1       0.727 
      361        1:0        1:0       0.917 
      362        1:0        1:0       0.841 
      363        1:0        1:0       0.893 
      364        1:0        1:0       0.898 
      365        1:0        1:0       0.834 
      366        1:0        1:0       0.871 
      367        2:1        2:1       0.806 
      368        2:1        2:1       0.767 
      369        2:1        2:1       0.836 
      370        2:1        2:1       0.843 
      371        2:1        2:1       0.726 
      372        1:0        1:0       0.875 
      373        1:0        1:0       0.872 
      374        1:0        1:0       0.789 
      375        1:0        1:0       0.897 
      376        2:1        2:1       0.796 
      377        2:1        2:1       0.753 
      378        1:0        1:0       0.844 
      379        1:0        1:0       0.855 
      380        1:0        1:0       0.885 
      381        2:1        2:1       0.84 
      382        2:1        2:1       0.824 
      383        1:0        1:0       0.886 
      384        2:1        2:1       0.767 
      385        1:0        1:0       0.84 
      386        1:0        1:0       0.893 
      387        1:0        1:0       0.881 
      388        2:1        2:1       0.799 
      389        1:0        1:0       0.884 
      390        2:1        2:1       0.827 
      391        2:1        2:1       0.854 
      392        2:1        2:1       0.718 
      393        1:0        1:0       0.886 
      394        2:1        2:1       0.819 
      395        2:1        2:1       0.846 
      396        1:0        1:0       0.875 
      397        1:0        1:0       0.876 
      398        1:0        1:0       0.899 
      399        1:0        1:0       0.875 
      400        2:1        2:1       0.779 
      401        2:1        2:1       0.747 
      402        1:0        1:0       0.892 
      403        1:0        1:0       0.872 
      404        1:0        1:0       0.861 
      405        1:0        1:0       0.844 
      406        1:0        1:0       0.866 
      407        1:0        1:0       0.857 
      408        2:1        2:1       0.851 
      409        1:0        1:0       0.87 
      410        1:0        1:0       0.886 
      411        1:0        1:0       0.882 
      412        1:0        1:0       0.898 
      413        2:1        2:1       0.758 
      414        1:0        1:0       0.886 
      415        2:1        2:1       0.756 
      416        1:0        1:0       0.822 
      417        2:1        2:1       0.776 
      418        2:1        2:1       0.814 
      419        1:0        1:0       0.845 
      420        1:0        1:0       0.876 
      421        1:0        1:0       0.882 
      422        1:0        1:0       0.879 
      423        1:0        1:0       0.878 
      424        1:0        1:0       0.857 
      425        1:0        1:0       0.881 
      426        1:0        1:0       0.873 
      427        2:1        2:1       0.801 
      428        2:1        2:1       0.733 
      429        1:0        1:0       0.876 
      430        2:1        2:1       0.735 
      431        2:1        2:1       0.769 
      432        2:1        2:1       0.675 
      433        2:1        2:1       0.846 
      434        1:0        1:0       0.887 
      435        1:0        1:0       0.865 
      436        2:1        2:1       0.879 
      437        1:0        1:0       0.904 
      438        2:1        2:1       0.883 
      439        1:0        1:0       0.858 
      440        1:0        1:0       0.874 
      441        2:1        2:1       0.758 
      442        1:0        1:0       0.884 
      443        1:0        1:0       0.893 
      444        2:1        2:1       0.813 
      445        2:1        2:1       0.78 
      446        2:1        2:1       0.796 
      447        2:1        2:1       0.857 
      448        2:1        2:1       0.722 
      449        2:1        2:1       0.866 
      450        2:1        2:1       0.767 
      451        1:0        1:0       0.854 
      452        1:0        1:0       0.871 
      453        1:0        1:0       0.824 
      454        2:1        2:1       0.8 
      455        1:0        1:0       0.86 
      456        2:1        2:1       0.748 
      457        1:0        1:0       0.85 
      458        2:1        2:1       0.744 
      459        2:1        2:1       0.824 
      460        1:0        1:0       0.864 
      461        2:1        2:1       0.795 
      462        1:0        1:0       0.88 
      463        1:0        1:0       0.856 
      464        1:0        1:0       0.83 
      465        1:0        1:0       0.871 
      466        1:0        1:0       0.866 
      467        1:0        1:0       0.886 
      468        1:0        1:0       0.86 
      469        1:0        1:0       0.864 
      470        2:1        2:1       0.828 
      471        1:0        1:0       0.875 
      472        1:0        1:0       0.889 
      473        2:1        2:1       0.79 
      474        2:1        2:1       0.808 
      475        1:0        1:0       0.826 
      476        1:0        1:0       0.866 
      477        1:0        1:0       0.886 
      478        1:0        1:0       0.852 
      479        1:0        1:0       0.88 
      480        2:1        2:1       0.808 
      481        1:0        1:0       0.898 
      482        1:0        1:0       0.887 
      483        1:0        1:0       0.876 
      484        2:1        2:1       0.805 
      485        2:1        2:1       0.819 
      486        1:0        1:0       0.896 
      487        2:1        2:1       0.877 
      488        1:0        1:0       0.857 
      489        1:0        1:0       0.877 
      490        2:1        2:1       0.838 
      491        1:0        1:0       0.844 
      492        1:0        1:0       0.868 
      493        1:0        1:0       0.855 
      494        1:0        1:0       0.858 
      495        1:0        1:0       0.892 
      496        1:0        1:0       0.906 
      497        2:1        2:1       0.886 
      498        1:0        1:0       0.849 
      499        1:0        1:0       0.806 
      500        1:0        1:0       0.893 
      501        1:0        1:0       0.875 
      502        1:0        1:0       0.837 
      503        1:0        1:0       0.846 
      504        1:0        1:0       0.871 
      505        2:1        2:1       0.792 
      506        1:0        1:0       0.881 
      507        2:1        2:1       0.846 
      508        2:1        2:1       0.737 
      509        1:0        1:0       0.872 
      510        2:1        2:1       0.803 
      511        2:1        2:1       0.751 
      512        1:0        1:0       0.908 
      513        2:1        2:1       0.723 
      514        2:1        2:1       0.792 
      515        1:0        1:0       0.881 
      516        1:0        1:0       0.859 
      517        2:1        2:1       0.819 
      518        1:0        1:0       0.879 
      519        2:1        2:1       0.817 
      520        1:0        1:0       0.876 
      521        2:1        2:1       0.864 
      522        1:0        1:0       0.893 
      523        1:0        1:0       0.853 
      524        2:1        2:1       0.836 
      525        1:0        1:0       0.882 
      526        1:0        1:0       0.865 
      527        2:1        2:1       0.837 
      528        1:0        1:0       0.872 
      529        1:0        1:0       0.906 
      530        1:0        1:0       0.858 
      531        2:1        2:1       0.847 
      532        1:0        1:0       0.875 
      533        1:0        1:0       0.864 
      534        2:1        2:1       0.78 
      535        1:0        1:0       0.805 
      536        2:1        2:1       0.804 
      537        1:0        1:0       0.878 
      538        2:1        2:1       0.8 
      539        1:0        1:0       0.865 
      540        2:1        2:1       0.81 
      541        2:1        2:1       0.797 
      542        1:0        1:0       0.906 
      543        1:0        1:0       0.864 
      544        2:1        2:1       0.758 
      545        1:0        1:0       0.809 
      546        1:0        1:0       0.895 
      547        2:1        2:1       0.785 
      548        2:1        2:1       0.729 
      549        1:0        1:0       0.817 
      550        2:1        2:1       0.771 
      551        2:1        2:1       0.84 
      552        1:0        1:0       0.866 
      553        1:0        1:0       0.852 
      554        2:1        2:1       0.73 
      555        2:1        2:1       0.779 
      556        1:0        1:0       0.89 
      557        2:1        2:1       0.824 
      558        1:0        1:0       0.809 
      559        2:1        2:1       0.832 
      560        2:1        2:1       0.8 
      561        1:0        1:0       0.869 
      562        1:0        1:0       0.869 
      563        1:0        1:0       0.881 
      564        1:0        1:0       0.88 
      565        1:0        1:0       0.827 
      566        1:0        1:0       0.911 
      567        1:0        1:0       0.854 
      568        1:0        1:0       0.903 
      569        1:0        1:0       0.901 
      570        2:1        2:1       0.803 
      571        2:1        2:1       0.746 
      572        2:1        2:1       0.85 
      573        2:1        2:1       0.788 
      574        2:1        2:1       0.738 
      575        1:0        1:0       0.861 
      576        1:0        1:0       0.889 
      577        2:1        2:1       0.809 
      578        2:1        2:1       0.74 
      579        1:0        1:0       0.813 
      580        2:1        2:1       0.819 
      581        2:1        2:1       0.772 
      582        2:1        2:1       0.825 
      583        1:0        1:0       0.892 
      584        1:0        1:0       0.865 
      585        1:0        1:0       0.875 
      586        2:1        2:1       0.815 
      587        1:0        1:0       0.849 
      588        2:1        2:1       0.768 
      589        1:0        1:0       0.877 
      590        1:0        1:0       0.866 
      591        1:0        1:0       0.895 
      592        2:1        2:1       0.872 
      593        1:0        1:0       0.9 
      594        1:0        1:0       0.81 
      595        1:0        1:0       0.876 
      596        1:0        1:0       0.913 
      597        2:1        2:1       0.837 
      598        1:0        1:0       0.881 
      599        1:0        1:0       0.853 
      600        2:1        2:1       0.738 
      601        2:1        2:1       0.809 
      602        1:0        1:0       0.877 
      603        1:0        1:0       0.86 
      604        1:0        1:0       0.835 
      605        2:1        2:1       0.773 
      606        1:0        1:0       0.857 
      607        1:0        1:0       0.877 
      608        2:1        2:1       0.748 
      609        2:1        2:1       0.817 
      610        2:1        2:1       0.813 
      611        1:0        1:0       0.909 
      612        1:0        1:0       0.873 
      613        2:1        2:1       0.827 
      614        1:0        1:0       0.917 
      615        1:0        1:0       0.883 
      616        2:1        2:1       0.886 
      617        1:0        1:0       0.891 
      618        1:0        1:0       0.894 
      619        2:1        2:1       0.837 
      620        1:0        1:0       0.887 
      621        1:0        1:0       0.874 
      622        2:1        2:1       0.839 
      623        2:1        2:1       0.841 
      624        1:0        1:0       0.89 
      625        1:0        1:0       0.897 
      626        1:0        1:0       0.839 
      627        1:0        1:0       0.881 
      628        2:1        2:1       0.893 
      629        1:0        1:0       0.881 
      630        1:0        1:0       0.885 
      631        2:1        2:1       0.772 
      632        1:0        1:0       0.883 
      633        2:1        2:1       0.764 
      634        1:0        1:0       0.875 
      635        1:0        1:0       0.874 
      636        2:1        2:1       0.825 
      637        1:0        1:0       0.889 
      638        1:0        1:0       0.853 
      639        1:0        1:0       0.865 
      640        1:0        1:0       0.899 
      641        1:0        1:0       0.868 
      642        2:1        2:1       0.864 
      643        1:0        1:0       0.94 
      644        2:1        2:1       0.843 
      645        2:1        2:1       0.828 
      646        2:1        2:1       0.861 
      647        1:0        1:0       0.903 
      648        2:1        2:1       0.812 
      649        1:0        1:0       0.892 
      650        2:1        2:1       0.829 
      651        1:0        1:0       0.879 
      652        2:1        2:1       0.838 
      653        1:0        1:0       0.921 
      654        2:1        2:1       0.803 
      655        1:0        1:0       0.885 
      656        1:0        1:0       0.922 
      657        1:0        1:0       0.885 
      658        1:0        1:0       0.874 
      659        1:0        1:0       0.859 
      660        1:0        1:0       0.794 
      661        2:1        2:1       0.849 
      662        1:0        1:0       0.884 
      663        1:0        1:0       0.821 
      664        1:0        1:0       0.886 
      665        2:1        2:1       0.757 
      666        1:0        1:0       0.906 
      667        1:0        1:0       0.854 
      668        1:0        1:0       0.899 
      669        1:0        1:0       0.881 
      670        2:1        2:1       0.84 
      671        2:1        2:1       0.766 
      672        1:0        1:0       0.857 
      673        1:0        1:0       0.889 
      674        2:1        2:1       0.737 
      675        1:0        1:0       0.862 
      676        1:0        1:0       0.889 
      677        1:0        1:0       0.873 
      678        2:1        2:1       0.77 
      679        1:0        1:0       0.902 
      680        2:1        2:1       0.823 
      681        1:0        1:0       0.814 
      682        2:1        2:1       0.827 
      683        1:0        1:0       0.873 
      684        1:0        1:0       0.917 
      685        1:0        1:0       0.779 
      686        1:0        1:0       0.765 
      687        1:0        1:0       0.92 
      688        1:0        1:0       0.892 
      689        1:0        1:0       0.9 
      690        2:1        2:1       0.823 
      691        2:1        2:1       0.824 
      692        2:1        2:1       0.755 
      693        2:1        2:1       0.801 
      694        1:0        1:0       0.876 
      695        1:0        1:0       0.867 
      696        1:0        1:0       0.85 
      697        1:0        1:0       0.868 
      698        2:1        2:1       0.803 
      699        1:0        1:0       0.791 
      700        1:0        1:0       0.878 
      701        2:1        2:1       0.804 
      702        2:1        2:1       0.786 
      703        1:0        1:0       0.887 
      704        1:0        1:0       0.889 
      705        1:0        1:0       0.893 
      706        1:0        1:0       0.827 
      707        2:1        2:1       0.779 
      708        2:1        2:1       0.767 
      709        2:1        2:1       0.733 
      710        2:1        2:1       0.764 
      711        2:1        2:1       0.831 
      712        1:0        1:0       0.844 
      713        2:1        2:1       0.812 
      714        1:0        1:0       0.886 
      715        1:0        1:0       0.892 
      716        1:0        1:0       0.874 
      717        2:1        2:1       0.807 
      718        2:1        2:1       0.825 
      719        1:0        1:0       0.901 
      720        1:0        1:0       0.901 
      721        2:1        2:1       0.829 
      722        1:0        1:0       0.856 
      723        1:0        1:0       0.889 
      724        1:0        1:0       0.884 
      725        2:1        2:1       0.812 
      726        1:0        1:0       0.868 
      727        2:1        2:1       0.731 
      728        2:1        2:1       0.796 
      729        1:0        1:0       0.864 
      730        1:0        1:0       0.868 
      731        2:1        2:1       0.851 
      732        1:0        1:0       0.783 
      733        1:0        1:0       0.853 
      734        1:0        1:0       0.832 
      735        1:0        1:0       0.871 
      736        1:0        1:0       0.892 
      737        1:0        1:0       0.876 
      738        2:1        2:1       0.826 
      739        1:0        1:0       0.914 
      740        1:0        1:0       0.877 
      741        2:1        2:1       0.828 
      742        1:0        1:0       0.837 
      743        2:1        2:1       0.895 
      744        1:0        1:0       0.864 
      745        2:1        2:1       0.712 
      746        1:0        1:0       0.83 
      747        1:0        1:0       0.844 
      748        2:1        2:1       0.832 
      749        1:0        1:0       0.857 
      750        1:0        1:0       0.911 
      751        2:1        2:1       0.826 
      752        2:1        2:1       0.801 
      753        1:0        1:0       0.88 
      754        1:0        1:0       0.868 
      755        2:1        2:1       0.888 
      756        2:1        2:1       0.8 
      757        1:0        1:0       0.874 
      758        1:0        1:0       0.875 
      759        1:0        1:0       0.865 
      760        2:1        2:1       0.822 
      761        1:0        1:0       0.867 
      762        1:0        1:0       0.873 
      763        2:1        2:1       0.812 
      764        2:1        2:1       0.89 
      765        1:0        1:0       0.872 
      766        2:1        2:1       0.881 
      767        1:0        1:0       0.875 
      768        1:0        1:0       0.858 
      769        1:0        1:0       0.87 
      770        1:0        1:0       0.894 
      771        1:0        1:0       0.872 
      772        1:0        1:0       0.877 
      773        1:0        1:0       0.861 
      774        1:0        1:0       0.893 
      775        2:1        2:1       0.786 
      776        1:0        1:0       0.872 
      777        1:0        1:0       0.873 
      778        2:1        2:1       0.795 
      779        1:0        1:0       0.855 
      780        2:1        2:1       0.875 
      781        2:1        2:1       0.875 
      782        2:1        2:1       0.823 
      783        1:0        1:0       0.825 
      784        1:0        1:0       0.903 
      785        1:0        1:0       0.898 
      786        1:0        1:0       0.916 
      787        2:1        2:1       0.806 
      788        1:0        1:0       0.9 
      789        2:1        2:1       0.798 
      790        1:0        1:0       0.87 
      791        1:0        1:0       0.89 
      792        1:0        1:0       0.889 
      793        1:0        1:0       0.881 
      794        1:0        1:0       0.857 
      795        1:0        1:0       0.896 
      796        1:0        1:0       0.875 
      797        2:1        2:1       0.818 
      798        2:1        2:1       0.78 
      799        1:0        1:0       0.889 
      800        1:0        1:0       0.875 
      801        1:0        1:0       0.879 
      802        2:1        2:1       0.85 
      803        2:1        2:1       0.827 
      804        2:1        2:1       0.786 
      805        2:1        2:1       0.771 
      806        1:0        1:0       0.895 
      807        1:0        1:0       0.865 
      808        1:0        1:0       0.881 
      809        1:0        1:0       0.863 
      810        2:1        2:1       0.849 
      811        1:0        1:0       0.867 
      812        1:0        1:0       0.907 
      813        1:0        1:0       0.853 
      814        1:0        1:0       0.868 
      815        1:0        1:0       0.876 
      816        1:0        1:0       0.846 
      817        1:0        1:0       0.863 
      818        1:0        1:0       0.804 
      819        1:0        1:0       0.877 
      820        1:0        1:0       0.911 
      821        2:1        2:1       0.86 
      822        2:1        2:1       0.787 
      823        1:0        1:0       0.847 
      824        2:1        2:1       0.83 
      825        1:0        1:0       0.895 
      826        1:0        1:0       0.889 
      827        1:0        1:0       0.777 
      828        2:1        2:1       0.748 
      829        2:1        2:1       0.784 
      830        2:1        2:1       0.795 
      831        2:1        2:1       0.789 
      832        2:1        2:1       0.835 
      833        1:0        1:0       0.856 
      834        1:0        1:0       0.901 
      835        1:0        1:0       0.901 
      836        2:1        2:1       0.867 
